timestamp,pitch,roll,yaw,gyro_temp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,height_tof_mm,height_baro_m,battery_main_voltage,battery_edf_voltage,temperature,humidity,pressure
45290,0.6282386779785156,-1.2674028873443604,-0.02190839685499668,2181,-1.0075390338897705,-0.02001953125,0.009765625,-4.381679534912109,-1.3358778953552246,0.7938931584358215,0,98,1101,0,2562,37,101460
45294,0.6382349133491516,-1.268953800201416,-0.02190839685499668,2181,-1.0082714557647705,-0.0234375,0.018310546875,-4.381679534912109,-1.2519084215164185,0.9007633328437805,0,98,1098,0,2563,37,101459
45299,0.638039767742157,-1.2690969705581665,-0.02156488597393036,2182,-1.0151073932647705,-0.022705078125,0.01123046875,-4.312977313995361,-1.3282443284988403,0.9389312863349915,0,98,1100,1,2564,37,101460
45303,0.6318835020065308,-1.2705738544464111,-0.02133587747812271,2181,-1.0085155963897705,-0.023193359375,0.00634765625,-4.267175674438477,-1.229007601737976,0.8396946787834167,0,98,1100,1,2564,37,101460
45321,0.6355314254760742,-1.2735918760299683,-0.021374046802520752,2181,-1.0104687213897705,-0.025634765625,0.011474609375,-4.27480936050415,-1.4045801162719727,0.9160305261611938,0,98,1100,1,2564,37,101460
45341,0.6274452805519104,-1.2713714838027954,-0.021374046802520752,2181,-1.0038769245147705,-0.023193359375,0.01123046875,-4.27480936050415,-1.3435114622116089,0.8396946787834167,0,98,1099,1,2564,37,101460
45361,0.6122313737869263,-1.2667877674102783,-0.02187022939324379,2181,-1.0102245807647705,-0.02294921875,0.012939453125,-4.3740458488464355,-1.3740458488464355,0.7862595319747925,0,98,1099,1,2564,37,101460
45381,0.6160043478012085,-1.2669575214385986,-0.02129771001636982,2181,-1.0129101276397705,-0.021728515625,0.017578125,-4.259541988372803,-1.0839694738388062,0.9923664331436157,0,98,1099,2,2564,37,101460
45401,0.6198809146881104,-1.2745698690414429,-0.021412212401628494,2181,-1.0077831745147705,-0.020751953125,0.013427734375,-4.282442569732666,-1.3664121627807617,0.9083969593048096,0,98,1098,2,2564,37,101460
45421,0.6196523904800415,-1.2712434530258179,-0.021946562454104424,2181,-1.0026562213897705,-0.019775390625,0.00537109375,-4.389312744140625,-1.2748091220855713,0.9389312863349915,0,98,1099,2,2564,37,101460
45441,0.6136765480041504,-1.2734814882278442,-0.021526718512177467,2181,-1.0075390338897705,-0.0205078125,0.008544921875,-4.3053436279296875,-1.198473334312439,0.7404580116271973,0,98,1098,2,2564,37,101460
