Axis,Mean,Std,Min,Max
X,-1.0083417322834647,0.0031719502341361365,-1.016,-1.0
Y,-0.02174330708661417,0.002730005909076615,-0.029,-0.013
Z,0.01684724409448819,0.003974719535998825,0.004,0.031
