Axis,Mean,Std,Min,Max
X,-1.0075281112292966,0.003156282576795611,-1.02,-0.995
Y,-0.020507369700653394,0.0026019705734920844,-0.031,-0.01
Z,0.018277237501899406,0.004010338927377628,0.003,0.036
