Axis,Mean,Std,Min,Max
X,-1.0074137931034484,0.003206542012159064,-1.016,-0.999
Y,-0.022189655172413787,0.00291069953942904,-0.027,-0.014
Z,0.016810344827586206,0.004041264768811795,0.007,0.024
