Axis,Mean,Std,Min,Max
X,-1.0106034482758621,0.07769529770936204,-1.174,-0.869
Y,-0.025293103448275865,0.04095526383523457,-0.14,0.04
Z,0.022672413793103443,0.05155898952742314,-0.082,0.141
