Axis,Mean,Std,Min,Max
X,-1.0087586206896553,0.0032943883431304577,-1.017,-1.002
Y,-0.02277586206896551,0.0026025837597002124,-0.028,-0.018
Z,0.015293103448275861,0.003464145274138886,0.005,0.023
